"mutation1"	"mutation2"	"mutation3"	"mutation4"	"mutation5"	"mutation6"	"mutation7"	"mutation8"	"mutation9"	"mutation10"	"mutation11"	"mutation12"	"mutation13"	"mutation14"	"mutation15"	"mutation16"	"mutation17"	"mutation18"	"mutation19"	"mutation20"
"sample43"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample44"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample45"	0	0	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
"sample46"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"sample47"	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0
"sample48"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample49"	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
"sample50"	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0
"sample51"	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0
"sample52"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample53"	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"sample54"	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1
"sample55"	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	6	0	17	0
"sample56"	0	0	0	74	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"sample57"	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0
"sample58"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
"sample59"	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
"sample60"	0	0	0	0	0	0	0	0	0	0	0	0	1	16	1	0	0	0	0	0
"sample61"	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
"sample62"	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample63"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample64"	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"sample65"	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample66"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample67"	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
"sample68"	0	1	1	7	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
"sample69"	0	0	0	0	0	0	0	0	7	1	0	0	0	0	1	0	0	0	0	0
"sample70"	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"sample71"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
"sample72"	2	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
"sample73"	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample74"	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample75"	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
"sample76"	0	0	0	0	0	86	0	0	0	0	1	0	0	0	0	1	0	0	0	0
"sample77"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
"sample78"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0
"sample79"	0	0	0	0	0	0	1	0	0	18	1	0	13	0	0	0	0	3	0	0
"sample80"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample81"	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample82"	0	5	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"sample83"	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"sample84"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1
"sample85"	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0
"sample86"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
"sample87"	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0
"sample88"	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
"sample89"	0	1	0	0	1	0	0	0	0	8	1	0	0	0	0	0	1	0	1	0
"sample90"	0	0	0	0	0	0	0	1	0	0	0	16	0	0	0	1	1	0	1	0
"sample91"	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
"sample92"	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
"sample93"	0	0	0	6	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"sample94"	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1
"sample95"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"sample96"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"sample97"	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0
"sample98"	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0
"sample99"	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample100"	0	2	0	118	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample101"	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample102"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0
"sample103"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"sample104"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"sample105"	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	83	0	0
"sample106"	0	0	4	0	0	0	0	0	63	0	0	0	0	1	0	1	0	0	0	0
"sample107"	93	0	1	0	28	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"sample108"	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
"sample109"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"sample110"	0	0	1	0	1	0	0	0	0	0	0	0	0	124	0	0	0	0	1	1
"sample111"	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	1	0	0	0
"sample112"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample113"	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0
"sample114"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	1	0
"sample115"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0
"sample116"	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	116	0	86	0
"sample117"	0	10	0	0	0	0	1	1	28	0	0	0	0	0	2	0	0	0	0	0
"sample118"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"sample119"	0	0	0	43	0	1	0	0	0	8	1	0	0	0	0	0	0	0	0	2
"sample120"	0	1	0	0	0	0	77	0	0	0	1	0	0	0	0	3	0	0	0	0
"sample121"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample122"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
"sample123"	0	0	0	0	0	118	1	1	0	0	0	0	0	1	0	0	0	0	0	0
"sample124"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"sample125"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"sample126"	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0
"sample127"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample128"	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	1	0
"sample129"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample130"	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample131"	0	25	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1
"sample132"	0	0	0	0	0	0	1	0	0	1	0	0	30	0	0	149	0	0	0	0
"sample133"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0
"sample134"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0	0	0
"sample135"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"sample136"	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0
"sample137"	0	0	7	0	0	1	0	0	21	0	1	0	10	0	0	0	1	0	1	1
"sample138"	0	0	0	0	0	0	0	0	1	3	0	0	0	0	5	2	0	0	0	1
"sample139"	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
"sample140"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0
"sample141"	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0
"sample142"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0
"sample143"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"sample144"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
"sample145"	12	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	1	0	0	0
"sample146"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
"sample147"	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	66	0
"sample148"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
"sample149"	0	0	0	0	0	9	255	0	1	0	0	0	0	0	0	0	0	0	0	0
"sample150"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample151"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"sample152"	1	0	1	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0
"sample153"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"sample154"	0	0	1	0	0	0	0	18	0	0	0	0	0	0	0	1	20	0	0	0
"sample155"	0	1	0	0	0	18	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"sample156"	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
"sample157"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0
"sample158"	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	39
"sample159"	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample160"	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	1	0
"sample161"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	63
"sample162"	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	70
"sample163"	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0
"sample164"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1
"sample165"	0	0	0	0	0	54	0	0	1	0	0	0	0	1	1	0	0	0	0	0
"sample166"	0	0	0	0	0	0	2	3	0	0	0	0	84	0	0	1	1	13	0	0
"sample167"	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"sample168"	0	0	0	24	0	0	0	60	0	1	6	0	0	0	0	0	0	0	0	0
"sample169"	7	0	0	0	0	0	0	0	0	1	0	0	0	1	0	6	0	0	1	0
"sample170"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2
"sample171"	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
"sample172"	0	0	3	0	0	0	0	0	0	0	0	0	0	346	0	0	0	0	0	0
"sample173"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"sample174"	0	0	157	5	24	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"sample175"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0
"sample176"	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0
"sample177"	0	0	0	0	3	0	3	0	0	0	0	0	0	8	0	0	0	0	1	0
"sample178"	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample179"	0	0	17	0	0	0	0	5	0	0	0	0	0	34	0	1	0	10	0	0
"sample180"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample181"	0	0	0	1	0	0	0	1	0	0	1	0	0	27	49	0	0	0	0	0
"sample182"	0	0	0	0	0	0	0	0	0	8	0	0	2	0	0	0	0	0	0	0
"sample183"	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"sample184"	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	24	1
"sample185"	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	8	2	0	0
"sample186"	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0
"sample187"	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
"sample188"	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	49	0	0	1
"sample189"	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1
"sample190"	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	2	0
"sample191"	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
"sample192"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
"sample193"	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample194"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0
"sample195"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	1	0
"sample196"	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
"sample197"	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	1	1	0	0	0
"sample198"	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	66
"sample199"	0	1	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	1	0
"sample200"	11	0	0	0	0	0	0	0	0	82	0	0	0	0	4	0	0	55	0	0
"sample201"	0	0	0	0	0	0	2	0	0	0	0	0	42	0	0	0	0	0	0	0
"sample202"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"sample203"	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	2	0	0	0
"sample204"	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample205"	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0
"sample206"	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	21	0	0
"sample207"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
"sample208"	1	0	1	0	0	0	0	1	0	0	0	0	20	0	0	0	0	0	1	0
"sample209"	0	1	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0
"sample210"	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	15	0	0	0	0
"sample211"	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"sample212"	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
"sample213"	0	0	0	0	0	0	0	0	0	0	0	0	0	3	18	0	0	0	0	0
"sample214"	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	0
"sample215"	67	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	2	0	0	0
"sample216"	0	0	0	0	0	0	0	0	0	0	0	0	7	11	0	0	0	0	0	0
"sample217"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0
"sample218"	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0
"sample219"	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
"sample220"	0	0	0	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0
"sample221"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
"sample222"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample223"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
"sample224"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"sample225"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0
"sample226"	1	0	0	0	1	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0
"sample227"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample228"	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
"sample229"	0	0	0	0	0	9	0	0	0	0	0	0	0	12	8	0	0	0	3	0
"sample230"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"sample231"	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"sample232"	0	0	0	0	0	1	0	1	0	0	0	0	5	0	1	0	0	0	0	0
"sample233"	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0
"sample234"	0	0	2	0	0	0	0	0	0	0	0	19	1	0	0	0	0	0	0	0
"sample235"	0	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	0	0	0
"sample236"	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0
"sample237"	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
"sample238"	1	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	0	1	1
"sample239"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
"sample240"	1	0	0	0	0	0	5	1	1	0	0	0	2	1	0	0	0	0	115	0
"sample241"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
"sample242"	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
"sample243"	0	0	0	0	0	0	0	0	0	1	0	0	0	3	1	0	1	0	0	0
"sample244"	1	0	99	0	0	0	0	0	0	0	0	0	0	6	0	1	0	1	0	0
"sample245"	24	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
"sample246"	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
"sample247"	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample248"	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	3
"sample249"	0	0	0	0	1	9	2	0	0	0	0	0	44	0	0	0	0	0	0	0
"sample250"	0	0	0	6	0	0	0	0	0	0	0	0	0	0	185	0	1	0	1	0
"sample251"	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0
"sample252"	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0
"sample253"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample254"	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0
"sample255"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample256"	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample257"	1	0	2	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0
"sample258"	0	0	0	0	0	0	58	0	0	0	0	0	5	0	0	0	0	0	63	0
"sample259"	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"sample260"	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	1
"sample261"	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0
"sample262"	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0
"sample263"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"sample264"	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	2
"sample265"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
"sample266"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"sample267"	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample268"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample269"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"sample270"	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	0	0	0	0
"sample271"	0	0	0	0	0	8	0	0	0	1	0	0	143	0	0	0	0	0	0	0
"sample272"	0	0	0	0	0	12	1	0	0	0	0	0	0	1	0	2	0	7	1	0
"sample273"	2	0	18	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0
"sample274"	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1
"sample275"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample276"	0	28	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0
"sample277"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample278"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"sample279"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample280"	0	0	0	0	35	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"sample281"	1	0	0	0	0	0	2	0	0	0	0	1	22	0	0	0	0	0	0	0
"sample282"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample283"	0	0	0	0	0	0	0	1	0	0	4	0	1	0	0	79	0	0	0	0
"sample284"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"sample285"	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2
"sample286"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
"sample287"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample288"	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1
"sample289"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"sample290"	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample291"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"sample292"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	26	0	0	0	0	149
"sample293"	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	82	5
"sample294"	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample295"	0	0	0	3	16	0	0	0	0	0	0	0	0	1	0	0	0	0	3	1
"sample296"	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
"sample297"	0	0	2	0	0	0	13	0	0	0	0	0	0	0	0	1	0	0	0	0
"sample298"	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
