"mutation1"	"mutation2"	"mutation3"	"mutation4"	"mutation5"	"mutation6"	"mutation7"	"mutation8"	"mutation9"	"mutation10"	"mutation11"	"mutation12"	"mutation13"	"mutation14"	"mutation15"	"mutation16"	"mutation17"	"mutation18"	"mutation19"	"mutation20"
"sample85"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample86"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample87"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample88"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample89"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"sample90"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"sample91"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample92"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"sample93"	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"sample94"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample95"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
"sample96"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample97"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample98"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample99"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample100"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample101"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample102"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"sample103"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample104"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"sample105"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"sample106"	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"sample107"	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample108"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample109"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample110"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"sample111"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"sample112"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample113"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample114"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"sample115"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"sample116"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
"sample117"	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"sample118"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample119"	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"sample120"	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
"sample121"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample122"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"sample123"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample124"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample125"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample126"	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
"sample127"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample128"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample129"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample130"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample131"	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"sample132"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
"sample133"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"sample134"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"sample135"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample136"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample137"	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
"sample138"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
"sample139"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"sample140"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"sample141"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"sample142"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample143"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample144"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample145"	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"sample146"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample147"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"sample148"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample149"	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample150"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample151"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample152"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"sample153"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample154"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
"sample155"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample156"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"sample157"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample158"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"sample159"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample160"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"sample161"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"sample162"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"sample163"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample164"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample165"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample166"	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0
"sample167"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample168"	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
"sample169"	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
"sample170"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample171"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample172"	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"sample173"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample174"	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample175"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample176"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"sample177"	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
"sample178"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample179"	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0
"sample180"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample181"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
"sample182"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"sample183"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample184"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"sample185"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"sample186"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"sample187"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample188"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
"sample189"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample190"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample191"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample192"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample193"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample194"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"sample195"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample196"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"sample197"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample198"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
"sample199"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"sample200"	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0
"sample201"	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
"sample202"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample203"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample204"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample205"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample206"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
"sample207"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"sample208"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"sample209"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"sample210"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"sample211"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample212"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample213"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
"sample214"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"sample215"	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"sample216"	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
"sample217"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample218"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample219"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample220"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample221"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample222"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample223"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"sample224"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample225"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"sample226"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"sample227"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample228"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample229"	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
"sample230"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample231"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample232"	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"sample233"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample234"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"sample235"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample236"	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample237"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample238"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample239"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample240"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
"sample241"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"sample242"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample243"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"sample244"	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"sample245"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample246"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample247"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample248"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"sample249"	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"sample250"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"sample251"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample252"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample253"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample254"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"sample255"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample256"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample257"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"sample258"	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0
"sample259"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample260"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample261"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample262"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"sample263"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample264"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
"sample265"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample266"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample267"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample268"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"sample269"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"sample270"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"sample271"	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"sample272"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"sample273"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample274"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample275"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample276"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample277"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample278"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample279"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample280"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample281"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"sample282"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample283"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
"sample284"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample285"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample286"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"sample287"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"sample288"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample289"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample290"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample291"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample292"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
"sample293"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
"sample294"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample295"	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample296"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample297"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample298"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
